"STATISTIC","Statistic Label","TLIST(M1)","Month","C02803V03373","Type of Residential Property","UNIT","VALUE"
"HPM06C01","Residential Property Price Index","200510","2005 October","13","Border excluding Louth - houses","Base Jan 2005 = 100",""
"HPM06C01","Residential Property Price Index","200510","2005 October","14","Midland - houses","Base Jan 2005 = 100",""
"HPM06C01","Residential Property Price Index","200510","2005 October","15","West - houses","Base Jan 2005 = 100",""
"HPM06C01","Residential Property Price Index","200510","2005 October","16","Mid-East including Louth - houses","Base Jan 2005 = 100",""
"HPM06C01","Residential Property Price Index","200510","2005 October","17","Mid-West including South Tipperary - houses","Base Jan 2005 = 100",""
"HPM06C01","Residential Property Price Index","200510","2005 October","18","South-East excluding South Tipperary - houses","Base Jan 2005 = 100",""
"HPM06C01","Residential Property Price Index","200510","2005 October","19","South-West - houses","Base Jan 2005 = 100",""
"HPM06C01","Residential Property Price Index","200511","2005 November","-","National - all residential properties","Base Jan 2005 = 100","111.5"
"HPM06C01","Residential Property Price Index","200511","2005 November","01","National - houses","Base Jan 2005 = 100","112"
"HPM06C01","Residential Property Price Index","200511","2005 November","02","National - apartments","Base Jan 2005 = 100","106.5"
"HPM06C01","Residential Property Price Index","200511","2005 November","05","Dublin - all residential properties","Base Jan 2005 = 100","114.3"
"HPM06C01","Residential Property Price Index","200511","2005 November","06","Dublin - houses","Base Jan 2005 = 100","115.6"
"HPM06C01","Residential Property Price Index","200511","2005 November","07","Dublin - apartments","Base Jan 2005 = 100","109.6"
"HPM06C01","Residential Property Price Index","200511","2005 November","08","Dublin City - houses","Base Jan 2005 = 100",""
"HPM06C01","Residential Property Price Index","200511","2005 November","09","Dun Laoghaire-Rathdown - houses","Base Jan 2005 = 100",""
"HPM06C01","Residential Property Price Index","200511","2005 November","10","Fingal - houses","Base Jan 2005 = 100",""
"HPM06C01","Residential Property Price Index","200511","2005 November","11","South Dublin - houses","Base Jan 2005 = 100",""
"HPM06C01","Residential Property Price Index","200511","2005 November","03","National excluding Dublin - all residential properties","Base Jan 2005 = 100","110"
"HPM06C01","Residential Property Price Index","200511","2005 November","04","National excluding Dublin - houses","Base Jan 2005 = 100","110.4"
"HPM06C01","Residential Property Price Index","200511","2005 November","12","National excluding Dublin - apartments","Base Jan 2005 = 100","103.8"
"HPM06C01","Residential Property Price Index","200511","2005 November","13","Border excluding Louth - houses","Base Jan 2005 = 100",""
"HPM06C01","Residential Property Price Index","200511","2005 November","14","Midland - houses","Base Jan 2005 = 100",""
"HPM06C01","Residential Property Price Index","200511","2005 November","15","West - houses","Base Jan 2005 = 100",""
"HPM06C01","Residential Property Price Index","200511","2005 November","16","Mid-East including Louth - houses","Base Jan 2005 = 100",""
"HPM06C01","Residential Property Price Index","200511","2005 November","17","Mid-West including South Tipperary - houses","Base Jan 2005 = 100",""
"HPM06C01","Residential Property Price Index","200511","2005 November","18","South-East excluding South Tipperary - houses","Base Jan 2005 = 100",""
"HPM06C01","Residential Property Price Index","200511","2005 November","19","South-West - houses","Base Jan 2005 = 100",""
"HPM06C01","Residential Property Price Index","200512","2005 December","-","National - all residential properties","Base Jan 2005 = 100","112.6"
"HPM06C01","Residential Property Price Index","200512","2005 December","01","National - houses","Base Jan 2005 = 100","113"
"HPM06C01","Residential Property Price Index","200512","2005 December","02","National - apartments","Base Jan 2005 = 100","108.4"
"HPM06C01","Residential Property Price Index","200512","2005 December","05","Dublin - all residential properties","Base Jan 2005 = 100","114.9"
"HPM06C01","Residential Property Price Index","200512","2005 December","06","Dublin - houses","Base Jan 2005 = 100","116"
"HPM06C01","Residential Property Price Index","200512","2005 December","07","Dublin - apartments","Base Jan 2005 = 100","111.2"
"HPM06C01","Residential Property Price Index","200512","2005 December","08","Dublin City - houses","Base Jan 2005 = 100",""
"HPM06C01","Residential Property Price Index","200512","2005 December","09","Dun Laoghaire-Rathdown - houses","Base Jan 2005 = 100",""
"HPM06C01","Residential Property Price Index","200512","2005 December","10","Fingal - houses","Base Jan 2005 = 100",""
"HPM06C01","Residential Property Price Index","200512","2005 December","11","South Dublin - houses","Base Jan 2005 = 100",""
"HPM06C01","Residential Property Price Index","200512","2005 December","03","National excluding Dublin - all residential properties","Base Jan 2005 = 100","111.4"
"HPM06C01","Residential Property Price Index","200512","2005 December","04","National excluding Dublin - houses","Base Jan 2005 = 100","111.7"
"HPM06C01","Residential Property Price Index","200512","2005 December","12","National excluding Dublin - apartments","Base Jan 2005 = 100","106.4"
"HPM06C01","Residential Property Price Index","200512","2005 December","13","Border excluding Louth - houses","Base Jan 2005 = 100",""
"HPM06C01","Residential Property Price Index","200512","2005 December","14","Midland - houses","Base Jan 2005 = 100",""
"HPM06C01","Residential Property Price Index","200512","2005 December","15","West - houses","Base Jan 2005 = 100",""
"HPM06C01","Residential Property Price Index","200512","2005 December","16","Mid-East including Louth - houses","Base Jan 2005 = 100",""
"HPM06C01","Residential Property Price Index","200512","2005 December","17","Mid-West including South Tipperary - houses","Base Jan 2005 = 100",""
"HPM06C01","Residential Property Price Index","200512","2005 December","18","South-East excluding South Tipperary - houses","Base Jan 2005 = 100",""
"HPM06C01","Residential Property Price Index","200512","2005 December","19","South-West - houses","Base Jan 2005 = 100",""
"HPM06C01","Residential Property Price Index","200601","2006 January","-","National - all residential properties","Base Jan 2005 = 100","113.2"
"HPM06C01","Residential Property Price Index","200601","2006 January","01","National - houses","Base Jan 2005 = 100","113.7"
"HPM06C01","Residential Property Price Index","200601","2006 January","02","National - apartments","Base Jan 2005 = 100","109.3"
"HPM06C01","Residential Property Price Index","200601","2006 January","05","Dublin - all residential properties","Base Jan 2005 = 100","115.4"
"HPM06C01","Residential Property Price Index","200601","2006 January","06","Dublin - houses","Base Jan 2005 = 100","116.9"
"HPM06C01","Residential Property Price Index","200601","2006 January","07","Dublin - apartments","Base Jan 2005 = 100","111"
"HPM06C01","Residential Property Price Index","200601","2006 January","08","Dublin City - houses","Base Jan 2005 = 100",""
"HPM06C01","Residential Property Price Index","200601","2006 January","09","Dun Laoghaire-Rathdown - houses","Base Jan 2005 = 100",""
"HPM06C01","Residential Property Price Index","200601","2006 January","10","Fingal - houses","Base Jan 2005 = 100",""
"HPM06C01","Residential Property Price Index","200601","2006 January","11","South Dublin - houses","Base Jan 2005 = 100",""
"HPM06C01","Residential Property Price Index","200601","2006 January","03","National excluding Dublin - all residential properties","Base Jan 2005 = 100","111.9"
